"Timestamp","What is your age?","Which Social Media platform/s do you like the most or use the most?","How much time do you spend on social media in a day?(hrs)","How much time do you spend on physical activities in a day?(hrs)","How much do you feel that you are exposed to inappropriate content on these platforms?","Have you ever been a victim of any of these cyber crimes?","Which type of communication do you generally prefer?"
"2022/01/17 11:27:35 pm GMT+5:30","54","Instagram;Hike;Snapchat","1 to 2.5","Up to 4","7","Photos being misused;None","Through social media"
"2022/01/17 11:27:39 pm GMT+5:30","40","Youtube","1 to 2.5","More than 4","2","Photos being misused;Hacking",""
"2022/01/17 11:27:48 pm GMT+5:30","59","Whatsapp;Instagram;Hike;Snapchat","Less than 1","Up to 4","0","Fake profiles;Photos being misused","Through phone"
"2022/01/17 11:27:57 pm GMT+5:30","15","Twitter;Facebook;Instagram;Youtube","More than 4","Up to 4","10","Fake profiles;None",""
"2022/01/17 11:28:05 pm GMT+5:30","12","Twitter;Instagram","Up to 4","More than 4","3","Photos being misused;None",""
"2022/01/17 11:28:10 pm GMT+5:30","48","Whatsapp;Facebook;Youtube;Snapchat","1 to 2.5","None","7","Photos being misused;Hacking","Through social media"
"2022/01/17 11:28:14 pm GMT+5:30","55","Twitter;Whatsapp;Youtube","Less than 1","Less than 1","8","Hacking;None",""
"2022/01/17 11:28:31 pm GMT+5:30","51","Twitter","Up to 4","More than 4","1","Photos being misused;Hacking","Text message"
"2022/01/17 11:28:36 pm GMT+5:30","27","Instagram","Less than 1","None","6","Photos being misused;None",""
"2022/01/17 11:28:40 pm GMT+5:30","68","Instagram;Youtube;Snapchat","More than 4","Less than 1","0","Photos being misused;Hacking","Through phone;Text message"
"2022/01/17 11:28:44 pm GMT+5:30","30","Twitter;Instagram","More than 4","1 to 2.5","0","Fake profiles;None",""
"2022/01/17 11:28:48 pm GMT+5:30","25","Snapchat","More than 4","None","6","Photos being misused;Hacking","Through phone"
"2022/01/17 11:28:57 pm GMT+5:30","63","Twitter;Whatsapp","Up to 4","1 to 2.5","5","Photos being misused;Hacking","Through phone;Text message;Through social media"
"2022/01/17 11:29:01 pm GMT+5:30","16","Facebook","1 to 2.5","None","8","Photos being misused;None",""
"2022/01/17 11:29:21 pm GMT+5:30","32","Whatsapp;Facebook","Less than 1","More than 4","0","Photos being misused;Hacking","Through phone"
"2022/01/17 11:29:26 pm GMT+5:30","22","Twitter;Facebook;Instagram;Snapchat","Less than 1","More than 4","10","Hacking;None","Face to face"
"2022/01/17 11:29:40 pm GMT+5:30","62","Twitter","Less than 1","Less than 1","10","Photos being misused;Hacking",""
"2022/01/17 11:29:52 pm GMT+5:30","13","Instagram;Hike","Up to 4","More than 4","7","Photos being misused;None",""
"2022/01/17 11:30:05 pm GMT+5:30","35","Hike;Snapchat","1 to 2.5","1 to 2.5","9","Fake profiles;Photos being misused",""
"2022/01/17 11:30:13 pm GMT+5:30","56","Twitter;Hike","Less than 1","More than 4","10","Fake profiles;Photos being misused",""
"2022/01/17 11:38:28 pm GMT+5:30","68","Facebook;Youtube;Hike","Up to 4","1 to 2.5","5","None","Face to face"
"2022/01/17 11:38:36 pm GMT+5:30","57","Whatsapp;Facebook;Instagram;Hike","More than 4","Up to 4","8","None","Through phone;Face to face;Through social media"
"2022/01/17 11:38:42 pm GMT+5:30","36","Twitter;Facebook;Youtube;Hike;Snapchat","Up to 4","None","2","None",""
"2022/01/17 11:38:49 pm GMT+5:30","31","Facebook;Hike","1 to 2.5","1 to 2.5","7","None","Through social media"
"2022/01/17 11:38:58 pm GMT+5:30","51","Whatsapp;Youtube;Hike","Less than 1","1 to 2.5","2","None","Through phone;Face to face;Through social media"
"2022/01/17 11:39:13 pm GMT+5:30","15","Whatsapp","1 to 2.5","Less than 1","8","None","Face to face"
"2022/01/17 11:39:18 pm GMT+5:30","64","Facebook;Instagram;Youtube","Less than 1","1 to 2.5","2","None","Through phone;Text message;Through social media"
"2022/01/17 11:39:27 pm GMT+5:30","14","Instagram;Snapchat","More than 4","None","4","None","Through phone;Face to face;Through social media"
"2022/01/17 11:39:32 pm GMT+5:30","37","Twitter;Whatsapp","1 to 2.5","Less than 1","8","None","Face to face;Through social media"
"2022/01/17 11:39:37 pm GMT+5:30","57","Facebook;Instagram;Hike;Snapchat","More than 4","1 to 2.5","7","None",""
"2022/01/17 11:39:55 pm GMT+5:30","12","Whatsapp;Instagram","Up to 4","Less than 1","2","None","Through phone"
"2022/01/17 11:40:04 pm GMT+5:30","68","Facebook;Snapchat","1 to 2.5","None","2","None","Face to face"
"2022/01/17 11:40:13 pm GMT+5:30","68","Whatsapp;Hike","Less than 1","Up to 4","5","None","Text message"
"2022/01/17 11:40:34 pm GMT+5:30","54","Whatsapp;Youtube","Less than 1","Up to 4","10","None",""
"2022/01/17 11:40:50 pm GMT+5:30","66","Whatsapp;Facebook;Hike","More than 4","Up to 4","9","None",""
"2022/01/17 11:40:59 pm GMT+5:30","58","Twitter;Whatsapp;Instagram;Youtube","Less than 1","More than 4","3","None","Text message"
"2022/01/17 11:40:59 pm GMT+5:30","53","Instagram;Hike;Snapchat","Up to 4","None","1","None","Through phone;Face to face"
"2022/01/17 11:41:04 pm GMT+5:30","16","Twitter;Whatsapp;Youtube;Hike","Up to 4","More than 4","1","None","Through social media"
"2022/01/17 11:41:14 pm GMT+5:30","38","Twitter;Facebook;Instagram;Youtube;Hike","Less than 1","1 to 2.5","7","None","Text message;Through social media"
"2022/01/17 11:41:23 pm GMT+5:30","45","Whatsapp;Hike","Up to 4","More than 4","4","None","Text message;Face to face;Through social media"
"2022/01/17 11:41:28 pm GMT+5:30","68","Youtube;Hike","1 to 2.5","1 to 2.5","4","None","Face to face"
"2022/01/17 11:41:37 pm GMT+5:30","70","Twitter;Whatsapp;Youtube;Hike","More than 4","None","0","None",""
"2022/01/17 11:41:46 pm GMT+5:30","12","Instagram","1 to 2.5","More than 4","1","None","Face to face"
"2022/01/17 11:41:55 pm GMT+5:30","17","Youtube;Snapchat","1 to 2.5","1 to 2.5","4","None","Text message;Face to face;Through social media"
"2022/01/17 11:42:09 pm GMT+5:30","48","Twitter;Youtube;Hike","1 to 2.5","Less than 1","9","None","Through phone;Face to face;Through social media"
"2022/01/17 11:42:19 pm GMT+5:30","64","Instagram;Hike","More than 4","None","5","None","Through phone"
"2022/01/17 11:42:24 pm GMT+5:30","46","Hike","Up to 4","Less than 1","5","None","Through social media"
"2022/01/17 11:42:28 pm GMT+5:30","67","Whatsapp;Hike","1 to 2.5","More than 4","0","None","Text message"
"2022/01/17 11:42:37 pm GMT+5:30","16","Twitter;Whatsapp;Hike;Snapchat","1 to 2.5","Up to 4","7","None","Through phone"
"2022/01/17 11:42:46 pm GMT+5:30","38","Hike;Snapchat","Up to 4","1 to 2.5","8","None","Text message;Face to face"
"2022/01/17 11:42:51 pm GMT+5:30","19","Youtube","1 to 2.5","None","7","None","Through phone"
"2022/01/17 11:43:01 pm GMT+5:30","62","Facebook;Snapchat","Up to 4","Less than 1","8","None","Face to face;Through social media"
"2022/01/17 11:43:06 pm GMT+5:30","38","Facebook;Instagram;Youtube","1 to 2.5","Less than 1","3","None","Text message;Through social media"
"2022/01/17 11:43:11 pm GMT+5:30","23","Facebook;Snapchat","Less than 1","Up to 4","7","None",""
"2022/01/17 11:43:16 pm GMT+5:30","12","Twitter;Whatsapp;Hike","More than 4","Up to 4","8","None",""
"2022/01/17 11:43:21 pm GMT+5:30","28","Whatsapp;Facebook;Instagram;Youtube;Snapchat","1 to 2.5","Less than 1","7","None","Text message"
"2022/01/29 7:41:58 pm GMT+5:30","46","Whatsapp;Instagram;Hike;Snapchat","Less than 1","None","9","None","Text message"
"2022/01/29 7:42:11 pm GMT+5:30","48","Whatsapp;Instagram;Snapchat","Up to 4","More than 4","6","None",""
"2022/01/29 7:42:35 pm GMT+5:30","19","Twitter","Up to 4","None","10","None","Through phone;Face to face;Through social media"
"2022/01/29 7:42:44 pm GMT+5:30","58","Facebook;Instagram;Youtube","Up to 4","Less than 1","2","None","Text message;Through social media"
"2022/01/29 7:42:47 pm GMT+5:30","66","Whatsapp;Youtube","More than 4","Up to 4","3","None","Text message;Through social media"
"2022/01/29 7:42:54 pm GMT+5:30","42","Twitter;Whatsapp;Instagram;Youtube;Hike;Snapchat","1 to 2.5","Up to 4","6","None","Through social media"
"2022/01/29 7:43:28 pm GMT+5:30","59","Youtube","Up to 4","None","5","None","Through social media"
"2022/01/29 7:43:37 pm GMT+5:30","34","Whatsapp;Snapchat","More than 4","1 to 2.5","7","None",""
"2022/01/29 7:43:45 pm GMT+5:30","34","Twitter;Whatsapp;Instagram;Snapchat","More than 4","More than 4","10","None","Through phone"
"2022/01/29 7:44:03 pm GMT+5:30","23","Instagram","1 to 2.5","1 to 2.5","7","None","Through phone"
"2022/01/29 7:44:26 pm GMT+5:30","19","Instagram;Youtube;Snapchat","1 to 2.5","Up to 4","10","None","Face to face"
"2022/01/29 7:44:37 pm GMT+5:30","40","Hike;Snapchat","More than 4","Up to 4","9","None","Text message"
"2022/01/29 7:44:57 pm GMT+5:30","54","Twitter;Facebook;Youtube","More than 4","1 to 2.5","10","None","Through phone;Text message"
"2022/01/29 7:45:08 pm GMT+5:30","46","Facebook;Instagram;Youtube;Snapchat","Up to 4","1 to 2.5","10","None",""
"2022/01/29 7:46:09 pm GMT+5:30","17","Twitter;Instagram","1 to 2.5","Up to 4","2","None","Face to face"
"2022/01/29 7:46:18 pm GMT+5:30","56","Facebook","Up to 4","1 to 2.5","1","None",""
"2022/01/29 7:46:27 pm GMT+5:30","44","Twitter;Facebook;Instagram","Up to 4","More than 4","6","None","Face to face"
"2022/01/29 7:46:36 pm GMT+5:30","58","Whatsapp;Hike;Snapchat","Up to 4","Less than 1","4","None","Face to face"
"2022/01/29 7:47:02 pm GMT+5:30","53","Twitter;Snapchat","1 to 2.5","Less than 1","0","None","Through phone;Text message;Through social media"
"2022/01/29 7:47:11 pm GMT+5:30","39","Twitter;Whatsapp","More than 4","Less than 1","3","None","Through phone"
"2022/01/29 7:47:17 pm GMT+5:30","56","Facebook","1 to 2.5","Less than 1","4","None","Through social media"
"2022/01/29 7:47:51 pm GMT+5:30","52","Twitter;Facebook;Instagram","1 to 2.5","1 to 2.5","2","None",""
"2022/01/29 7:48:04 pm GMT+5:30","22","Twitter;Facebook;Instagram;Youtube","More than 4","Less than 1","10","None","Text message;Through social media"
"2022/01/29 7:48:17 pm GMT+5:30","53","Twitter","1 to 2.5","More than 4","8","None",""
"2022/01/29 7:48:25 pm GMT+5:30","49","Hike","More than 4","Up to 4","5","None","Through social media"
"2022/01/29 7:48:34 pm GMT+5:30","39","Whatsapp;Snapchat","Up to 4","Up to 4","7","None",""
"2022/01/29 7:48:43 pm GMT+5:30","23","Twitter;Whatsapp;Hike","More than 4","More than 4","2","None","Through phone;Text message;Through social media"
"2022/01/29 9:07:10 pm GMT+5:30","22","Twitter;Whatsapp;Facebook;Instagram;Youtube;Hike","Up to 4","1 to 2.5","0","None","Through phone;Text message"
"2022/01/29 9:07:18 pm GMT+5:30","19","Facebook;Instagram;Hike","1 to 2.5","Up to 4","7","None","Text message;Through social media"
"2022/01/29 9:07:38 pm GMT+5:30","27","Instagram","Up to 4","Less than 1","6","None","Through phone;Face to face"
"2022/01/29 9:07:48 pm GMT+5:30","30","Twitter;Whatsapp;Youtube","Up to 4","1 to 2.5","1","None",""
"2022/01/29 9:08:09 pm GMT+5:30","26","Snapchat","1 to 2.5","1 to 2.5","6","None","Face to face"
"2022/01/29 9:08:26 pm GMT+5:30","27","Whatsapp;Facebook;Instagram;Hike","Less than 1","Less than 1","0","None","Text message"
"2022/01/29 9:09:03 pm GMT+5:30","29","Whatsapp;Instagram;Hike;Snapchat","1 to 2.5","More than 4","4","None",""
"2022/01/29 9:09:49 pm GMT+5:30","19","Twitter;Hike","More than 4","Less than 1","5","None","Through social media"
"2022/01/29 9:11:11 pm GMT+5:30","25","Twitter;Facebook","1 to 2.5","Less than 1","0","None",""
"2022/01/29 9:12:37 pm GMT+5:30","27","Snapchat","More than 4","Up to 4","1","None","Text message;Face to face"
"2022/01/29 9:12:50 pm GMT+5:30","27","Facebook;Instagram;Youtube","Up to 4","1 to 2.5","9","None",""
"2022/01/29 9:15:06 pm GMT+5:30","24","Hike","1 to 2.5","More than 4","6","None","Through phone;Face to face"
"2022/01/29 9:15:23 pm GMT+5:30","27","Youtube","Less than 1","Less than 1","1","None","Through phone;Face to face"
"2022/01/29 9:15:33 pm GMT+5:30","30","Whatsapp;Youtube","More than 4","Up to 4","6","None",""
"2022/01/29 9:15:47 pm GMT+5:30","25","Facebook;Snapchat","More than 4","1 to 2.5","5","None","Through phone"
"2022/01/29 9:16:25 pm GMT+5:30","27","Facebook","Up to 4","None","8","None",""
"2022/01/29 9:16:57 pm GMT+5:30","21","Hike;Snapchat","Up to 4","Up to 4","3","None","Through social media"
"2022/01/29 9:17:18 pm GMT+5:30","25","Whatsapp;Snapchat","Up to 4","1 to 2.5","3","None",""
"2022/01/29 9:17:42 pm GMT+5:30","27","Twitter;Facebook;Instagram;Hike;Snapchat","Up to 4","More than 4","2","None",""
"2022/01/29 9:18:30 pm GMT+5:30","22","Facebook;Instagram","1 to 2.5","None","8","None","Text message;Through social media"
"2022/01/29 9:18:45 pm GMT+5:30","19","Whatsapp;Instagram","Up to 4","1 to 2.5","6","None","Through phone"
"2022/01/29 9:19:04 pm GMT+5:30","27","Instagram;Youtube","1 to 2.5","Less than 1","1","None","Through phone"
"2022/01/29 9:19:20 pm GMT+5:30","23","Twitter;Facebook;Youtube","Less than 1","Up to 4","7","None","Through phone;Through social media"
"2022/01/29 9:19:26 pm GMT+5:30","20","Youtube","1 to 2.5","Less than 1","2","None","Face to face;Through social media"
"2022/01/29 9:19:37 pm GMT+5:30","21","Twitter;Facebook;Snapchat","1 to 2.5","1 to 2.5","6","None","Face to face;Through social media"
"2022/01/29 9:19:49 pm GMT+5:30","28","Instagram;Youtube;Hike","1 to 2.5","Up to 4","2","None","Through phone"
"2022/01/29 9:20:21 pm GMT+5:30","28","Instagram;Youtube;Hike","Up to 4","None","4","None","Text message"
"2022/01/29 9:25:32 pm GMT+5:30","26","Facebook;Hike","More than 4","Less than 1","5","Photos being misused","Through social media"
"2022/01/29 9:25:59 pm GMT+5:30","30","Hike;Snapchat","Less than 1","More than 4","0","Photos being misused",""
"2022/01/29 9:26:09 pm GMT+5:30","24","Snapchat","More than 4","Up to 4","4","Photos being misused;Hacking","Text message"
"2022/01/29 9:26:25 pm GMT+5:30","26","Twitter;Whatsapp;Instagram","More than 4","Up to 4","1","Fake profiles;Hacking","Text message;Face to face"
"2022/01/29 9:26:43 pm GMT+5:30","27","Twitter;Facebook;Hike","More than 4","1 to 2.5","2","Fake profiles;Hacking","Face to face"
"2022/01/29 9:26:53 pm GMT+5:30","28","Facebook;Instagram;Hike","Less than 1","Up to 4","2","Photos being misused;Hacking","Through phone;Face to face"
"2022/01/29 9:27:18 pm GMT+5:30","27","Whatsapp","Up to 4","More than 4","10","Fake profiles",""
"2022/01/29 9:29:50 pm GMT+5:30","24","Twitter;Whatsapp;Facebook;Instagram;Youtube","Less than 1","Up to 4","9","Fake profiles",""
"2022/01/29 9:30:01 pm GMT+5:30","30","Youtube;Snapchat","Less than 1","Up to 4","4","Photos being misused",""
"2022/01/29 9:30:27 pm GMT+5:30","24","Facebook;Youtube","Up to 4","Up to 4","2","Photos being misused",""
"2022/01/29 9:30:38 pm GMT+5:30","29","Whatsapp","Less than 1","Less than 1","7","Hacking","Face to face"
"2022/01/29 9:30:43 pm GMT+5:30","23","Hike","Less than 1","Less than 1","8","Photos being misused","Face to face"
"2022/01/29 9:30:58 pm GMT+5:30","22","Whatsapp","1 to 2.5","Less than 1","0","Fake profiles;Photos being misused","Through phone"
"2022/01/29 9:31:04 pm GMT+5:30","19","Twitter;Facebook;Instagram;Youtube","1 to 2.5","None","7","Fake profiles","Face to face"
"2022/01/29 9:31:09 pm GMT+5:30","19","Twitter;Facebook;Instagram;Youtube","1 to 2.5","None","7","Fake profiles","Face to face"
"2022/01/29 9:31:25 pm GMT+5:30","22","Instagram;Youtube;Hike;Snapchat","Less than 1","Less than 1","2","Hacking","Through phone"
"2022/01/29 9:31:40 pm GMT+5:30","23","Twitter;Instagram;Youtube;Hike","Up to 4","Less than 1","4","Hacking",""
"2022/01/29 9:31:45 pm GMT+5:30","29","Facebook;Hike","Up to 4","Up to 4","1","Hacking","Text message;Face to face"
"2022/01/29 9:31:55 pm GMT+5:30","26","Facebook;Hike","More than 4","None","2","Photos being misused",""
"2022/01/30 10:15:49 am GMT+5:30","21","Instagram;Youtube;Hike","1 to 2.5","Up to 4","9","Photos being misused","Through phone;Face to face"
"2022/01/30 10:16:10 am GMT+5:30","30","Whatsapp;Facebook;Snapchat","1 to 2.5","None","2","Fake profiles;Photos being misused","Through phone;Through social media"
"2022/01/30 10:16:19 am GMT+5:30","21","Twitter;Whatsapp;Instagram;Youtube","More than 4","Less than 1","1","Hacking",""
"2022/01/30 10:16:35 am GMT+5:30","30","Instagram;Youtube","Up to 4","1 to 2.5","4","Fake profiles;Photos being misused","Face to face"
"2022/01/30 10:16:43 am GMT+5:30","24","Twitter;Whatsapp;Facebook","1 to 2.5","Up to 4","5","Hacking",""
"2022/01/30 10:16:55 am GMT+5:30","25","Twitter;Facebook;Instagram","1 to 2.5","Less than 1","0","Hacking","Face to face;Through social media"
"2022/01/30 10:17:04 am GMT+5:30","28","Instagram;Snapchat","Up to 4","1 to 2.5","5","Fake profiles;Photos being misused","Text message;Face to face"
"2022/01/30 10:17:11 am GMT+5:30","29","Hike","More than 4","None","2","Photos being misused",""
"2022/01/30 10:17:42 am GMT+5:30","24","Facebook","Up to 4","More than 4","2","Fake profiles;Photos being misused","Text message"
"2022/01/30 10:17:47 am GMT+5:30","19","Whatsapp","Less than 1","Up to 4","6","Fake profiles","Text message"
"2022/01/30 10:17:59 am GMT+5:30","20","Youtube;Snapchat","1 to 2.5","Less than 1","10","Photos being misused;Hacking","Through phone"
"2022/01/30 10:18:07 am GMT+5:30","26","Whatsapp;Facebook;Hike","Up to 4","More than 4","7","Fake profiles","Text message"
"2022/01/30 10:18:34 am GMT+5:30","25","Facebook","Less than 1","Up to 4","3","Fake profiles","Text message;Face to face"
"2022/01/30 10:18:58 am GMT+5:30","23","Twitter;Whatsapp;Instagram","Up to 4","Up to 4","8","Fake profiles","Through phone"
"2022/01/30 10:19:21 am GMT+5:30","27","Facebook;Instagram;Hike;Snapchat","Up to 4","None","5","Hacking","Face to face"
"2022/01/30 10:19:54 am GMT+5:30","22","Instagram","1 to 2.5","Less than 1","3","Fake profiles;Hacking","Through phone;Face to face"
"2022/01/30 10:20:04 am GMT+5:30","19","Facebook;Instagram;Youtube","More than 4","1 to 2.5","8","Fake profiles;Hacking","Through social media"
"2022/01/30 10:20:09 am GMT+5:30","30","Twitter","Less than 1","More than 4","1","Fake profiles","Text message"
"2022/01/30 10:20:15 am GMT+5:30","19","Twitter;Instagram;Snapchat","Less than 1","Less than 1","2","Hacking","Through phone"
"2022/01/30 10:20:35 am GMT+5:30","26","Whatsapp;Facebook","More than 4","Less than 1","7","Hacking","Text message"
"2022/01/30 10:20:40 am GMT+5:30","29","Twitter;Facebook;Snapchat","1 to 2.5","More than 4","1","Photos being misused",""
"2022/01/30 10:22:15 am GMT+5:30","27","Twitter","Less than 1","Less than 1","6","Hacking","Text message"
"2022/01/30 10:22:37 am GMT+5:30","28","Twitter;Facebook;Instagram;Youtube","More than 4","Up to 4","10","Photos being misused","Through social media"
"2022/01/30 10:23:25 am GMT+5:30","20","Snapchat","Up to 4","Up to 4","5","Fake profiles","Through phone"
"2022/01/30 10:23:54 am GMT+5:30","30","Facebook;Hike","1 to 2.5","More than 4","7","Hacking","Through social media"
"2022/01/30 10:24:04 am GMT+5:30","25","Facebook;Instagram","Up to 4","None","4","Hacking","Text message;Through social media"
"2022/01/30 10:24:57 am GMT+5:30","25","Twitter;Hike","Up to 4","Less than 1","9","Fake profiles;Hacking",""
"2022/01/30 10:25:17 am GMT+5:30","25","Facebook;Instagram","1 to 2.5","More than 4","8","Fake profiles","Face to face;Through social media"
"2022/01/30 10:25:32 am GMT+5:30","19","Instagram","Up to 4","More than 4","0","Fake profiles","Through social media"
"2022/01/30 10:25:40 am GMT+5:30","29","Instagram;Youtube;Snapchat","1 to 2.5","None","0","Fake profiles","Text message"
"2022/01/30 10:26:12 am GMT+5:30","24","Twitter;Snapchat","Up to 4","Up to 4","1","Hacking","Text message"
"2022/01/30 10:26:18 am GMT+5:30","19","Twitter;Instagram;Youtube;Snapchat","Up to 4","More than 4","0","Hacking",""
"2022/01/30 10:26:24 am GMT+5:30","30","Whatsapp","Less than 1","None","0","Photos being misused","Text message;Face to face;Through social media"
"2022/01/30 10:26:31 am GMT+5:30","22","Twitter;Instagram","1 to 2.5","Less than 1","8","Hacking","Through phone"
"2022/01/30 10:26:42 am GMT+5:30","19","Snapchat","Less than 1","None","9","Photos being misused",""
"2022/01/30 10:26:48 am GMT+5:30","27","Whatsapp;Facebook;Hike","Up to 4","None","3","Photos being misused","Face to face"
"2022/01/30 10:27:01 am GMT+5:30","30","Twitter;Facebook;Hike","Less than 1","Less than 1","1","Fake profiles;Hacking",""
"2022/01/30 10:27:17 am GMT+5:30","20","Whatsapp;Instagram;Snapchat","More than 4","1 to 2.5","4","Hacking","Through social media"
"2022/01/30 10:27:29 am GMT+5:30","23","Twitter;Instagram;Youtube","More than 4","More than 4","4","Fake profiles;Photos being misused","Through social media"
"2022/01/30 10:27:50 am GMT+5:30","25","Whatsapp;Instagram","1 to 2.5","More than 4","9","Fake profiles","Through phone;Text message"
"2022/01/30 10:27:59 am GMT+5:30","24","Twitter;Facebook;Youtube","Less than 1","1 to 2.5","1","Hacking",""
"2022/01/30 10:28:28 am GMT+5:30","20","Instagram;Hike","More than 4","None","2","Fake profiles;Photos being misused","Through phone;Text message"
"2022/01/30 10:28:36 am GMT+5:30","30","Whatsapp;Youtube","1 to 2.5","Up to 4","7","Hacking",""
"2022/01/30 10:29:32 am GMT+5:30","29","Instagram;Hike","1 to 2.5","Less than 1","9","Hacking",""
"2022/01/30 10:30:04 am GMT+5:30","28","Twitter;Instagram;Hike;Snapchat","Less than 1","Up to 4","2","Fake profiles;Photos being misused","Face to face"
"2022/01/30 10:30:16 am GMT+5:30","25","Twitter;Facebook;Instagram;Youtube;Hike;Snapchat","1 to 2.5","None","6","Fake profiles;Photos being misused",""
"2022/01/30 10:30:28 am GMT+5:30","30","Facebook;Hike;Snapchat","More than 4","Less than 1","0","Photos being misused","Through phone"
"2022/01/30 10:30:54 am GMT+5:30","22","Whatsapp","Up to 4","Up to 4","1","Hacking","Face to face"
"2022/01/30 10:31:19 am GMT+5:30","30","Twitter;Youtube;Hike","Less than 1","Less than 1","0","Fake profiles;Photos being misused","Text message;Face to face"
"2022/01/30 10:31:49 am GMT+5:30","22","Whatsapp;Instagram;Hike","Less than 1","More than 4","9","Fake profiles;Hacking","Text message"
"2022/01/30 10:33:19 am GMT+5:30","19","Instagram;Hike;Snapchat","Up to 4","1 to 2.5","2","Photos being misused","Through phone"
"2022/01/30 10:33:33 am GMT+5:30","21","Twitter;Hike","Up to 4","Less than 1","1","Hacking","Face to face"
"2022/01/30 10:35:07 am GMT+5:30","27","Whatsapp;Facebook;Hike","More than 4","None","1","Fake profiles;Hacking","Text message"
"2022/01/30 10:35:39 am GMT+5:30","22","Facebook;Youtube","More than 4","None","7","Fake profiles;Hacking","Through phone;Text message;Face to face"
"2022/01/30 10:36:58 am GMT+5:30","26","Facebook","More than 4","More than 4","4","Hacking",""
"2022/01/30 10:37:37 am GMT+5:30","22","Whatsapp;Youtube;Hike","More than 4","1 to 2.5","0","Photos being misused",""
"2022/01/30 10:38:05 am GMT+5:30","29","Twitter;Whatsapp;Instagram","More than 4","1 to 2.5","7","Photos being misused","Text message"
"2022/01/30 10:38:12 am GMT+5:30","30","Facebook;Snapchat","Up to 4","Up to 4","5","Hacking","Face to face"
"2022/01/30 10:38:30 am GMT+5:30","30","Facebook;Youtube;Hike","Up to 4","None","9","Fake profiles;Hacking",""
"2022/01/30 10:38:36 am GMT+5:30","28","Whatsapp;Youtube","Less than 1","Up to 4","3","Fake profiles","Text message"
"2022/01/30 10:38:44 am GMT+5:30","28","Twitter;Whatsapp;Youtube;Hike","Less than 1","1 to 2.5","8","Fake profiles;Photos being misused","Face to face;Through social media"
"2022/01/30 10:39:17 am GMT+5:30","22","Whatsapp;Snapchat","More than 4","Less than 1","2","Photos being misused","Through phone"
"2022/01/30 10:39:25 am GMT+5:30","24","Hike","1 to 2.5","More than 4","0","Hacking","Through phone;Face to face"
"2022/01/30 10:39:29 am GMT+5:30","28","Facebook","1 to 2.5","Less than 1","10","Photos being misused;Hacking","Through phone;Text message;Through social media"
"2022/01/30 10:39:34 am GMT+5:30","19","Instagram;Hike;Snapchat","More than 4","None","0","Photos being misused","Text message"
"2022/01/30 10:39:40 am GMT+5:30","28","Twitter;Facebook;Youtube","1 to 2.5","Up to 4","7","Hacking",""
"2022/01/30 10:39:44 am GMT+5:30","30","Whatsapp;Facebook","Less than 1","1 to 2.5","7","Fake profiles;Photos being misused","Through phone"
"2022/01/30 10:39:58 am GMT+5:30","26","Instagram;Youtube","1 to 2.5","Less than 1","10","Photos being misused","Face to face"
"2022/01/30 10:40:20 am GMT+5:30","19","Twitter;Whatsapp","Up to 4","1 to 2.5","4","Hacking","Through phone;Text message;Face to face"
"2022/01/30 10:40:39 am GMT+5:30","20","Whatsapp;Facebook","Less than 1","More than 4","8","Hacking","Through phone"
"2022/01/30 10:40:47 am GMT+5:30","20","Facebook;Hike","Up to 4","Less than 1","6","Hacking","Face to face;Through social media"
"2022/01/30 10:40:53 am GMT+5:30","29","Whatsapp","More than 4","None","0","Hacking",""
"2022/01/30 10:41:07 am GMT+5:30","23","Facebook","More than 4","Less than 1","3","Photos being misused","Through phone"
"2022/01/30 10:41:35 am GMT+5:30","21","Facebook;Youtube","Up to 4","More than 4","10","Hacking",""
"2022/01/30 10:41:43 am GMT+5:30","24","Twitter;Snapchat","More than 4","Less than 1","6","Hacking","Text message"
"2022/01/30 10:41:49 am GMT+5:30","24","Snapchat","Up to 4","Up to 4","8","Photos being misused;Hacking","Face to face"
"2022/01/30 10:41:53 am GMT+5:30","19","Twitter;Whatsapp;Youtube;Hike","Up to 4","None","5","Photos being misused;Hacking",""
"2022/01/30 10:42:18 am GMT+5:30","21","Twitter;Facebook","Up to 4","None","5","Photos being misused;Hacking","Through social media"
"2022/01/30 10:42:28 am GMT+5:30","27","Twitter;Facebook;Instagram;Youtube;Hike;Snapchat","1 to 2.5","None","7","Fake profiles;Photos being misused",""
"2022/01/30 10:42:33 am GMT+5:30","23","Youtube","1 to 2.5","Up to 4","4","Hacking","Text message"
"2022/01/30 10:42:49 am GMT+5:30","21","Hike","More than 4","None","9","Photos being misused",""
"2022/01/30 10:43:02 am GMT+5:30","24","Facebook;Hike","Up to 4","1 to 2.5","9","Fake profiles","Text message;Face to face"
"2022/01/30 10:43:15 am GMT+5:30","28","Whatsapp","Less than 1","Up to 4","6","Hacking",""
"2022/01/30 10:43:23 am GMT+5:30","22","Twitter;Whatsapp;Instagram;Youtube","More than 4","Less than 1","8","Hacking","Through phone;Face to face"
"2022/01/30 10:43:32 am GMT+5:30","23","Facebook;Youtube","1 to 2.5","Up to 4","9","Hacking","Text message"
"2022/01/30 10:43:49 am GMT+5:30","23","Twitter","Less than 1","1 to 2.5","2","Fake profiles",""
"2022/01/30 10:44:17 am GMT+5:30","22","Twitter;Instagram;Hike;Snapchat","More than 4","1 to 2.5","2","Fake profiles","Through social media"
