"Timestamp","What is your age?","Which Social Media platform/s do you like the most or use the most?","How much time do you spend on social media in a day?(hrs)","How much time do you spend on physical activities in a day?(hrs)","How much do you feel that you are exposed to inappropriate content on these platforms?","Have you ever been a victim of any of these cyber crimes?","Which type of communication do you generally prefer?"
"2022/01/03 3:15:03 pm GMT+5:30","21","Instagram","Up to 4","1 to 2.5","5","None","Text message"
"2022/01/03 3:32:16 pm GMT+5:30","21","Youtube","More than 4","Less than 1","0","None","Face to face;Through social media"
"2022/01/06 9:08:22 pm GMT+5:30","20","Instagram","Up to 4","1 to 2.5","5","Fake profiles","Through phone"
"2022/01/06 9:12:48 pm GMT+5:30","20","Whatsapp;Facebook;Instagram;Snapchat","1 to 2.5","Less than 1","0","None","Through social media"
"2022/01/06 9:15:16 pm GMT+5:30","21","Whatsapp;Instagram;Youtube;Snapchat","More than 4","Less than 1","4","None","Face to face;Through social media"
"2022/01/06 9:18:56 pm GMT+5:30","21","Youtube","1 to 2.5","Less than 1","4","None","Through phone"
"2022/01/06 9:20:57 pm GMT+5:30","21","Whatsapp;Facebook;Youtube","More than 4","Less than 1","10","Fake profiles","Through phone;Face to face"
"2022/01/06 9:24:05 pm GMT+5:30","20","Instagram","1 to 2.5","Less than 1","4","None","Through phone;Face to face"
"2022/01/06 9:25:36 pm GMT+5:30","21","Instagram","1 to 2.5","1 to 2.5","7","Hacking","Through phone;Text message"
"2022/01/06 9:26:30 pm GMT+5:30","21","Twitter;Whatsapp;Youtube","More than 4","Less than 1","6","None","Through phone;Face to face"
"2022/01/06 9:28:52 pm GMT+5:30","21","Whatsapp","1 to 2.5","1 to 2.5","0","None","Text message"
"2022/01/06 9:36:20 pm GMT+5:30","21","Instagram;Youtube","Up to 4","Up to 4","5","None","Through phone;Text message;Face to face;Through social media"
"2022/01/06 9:39:02 pm GMT+5:30","21","Instagram","Less than 1","Less than 1","1","None","Face to face"
"2022/01/06 10:07:33 pm GMT+5:30","22","Facebook","Up to 4","1 to 2.5","10","Fake profiles","Through phone"
"2022/01/06 10:17:23 pm GMT+5:30","24","Whatsapp;Instagram;Youtube","Up to 4","1 to 2.5","2","None","Through social media"
"2022/01/07 7:00:44 am GMT+5:30","20","Whatsapp;Instagram;Youtube;Snapchat","Up to 4","1 to 2.5","7","None","Through phone"
"2022/01/07 4:40:06 pm GMT+5:30","21","Whatsapp;Instagram;Youtube","1 to 2.5","1 to 2.5","3","None","Face to face;Through social media"
"2022/01/07 4:59:29 pm GMT+5:30","20","Whatsapp;Instagram;Youtube","More than 4","Less than 1","6","None","Text message"
"2022/01/07 7:43:20 pm GMT+5:30","21","Whatsapp;Instagram;Snapchat","More than 4","Less than 1","5","None","Face to face;Through social media"
"2022/01/17 8:19:41 pm GMT+5:30","21","Whatsapp;Facebook;Instagram","More than 4","1 to 2.5","6","Fake profiles;Photos being misused","Through phone;Text message;Through social media"
"2022/01/17 8:19:45 pm GMT+5:30","60","Whatsapp;Youtube","More than 4","Less than 1","9","Fake profiles","Through phone;Text message;Face to face;Through social media"
"2022/01/17 8:22:55 pm GMT+5:30","24","Twitter;Whatsapp;Facebook;Instagram;Youtube;Hike;Snapchat","More than 4","None","10","Fake profiles;Photos being misused;Hacking","Through social media"
"2022/01/17 9:24:58 pm GMT+5:30","42","Whatsapp;Instagram;Hike","Less than 1","Less than 1","6","Hacking;None","Text message;Through social media"
"2022/01/17 9:27:35 pm GMT+5:30","47","Twitter","Up to 4","More than 4","6","Fake profiles;Photos being misused","Through phone;Text message"
"2022/01/17 9:27:41 pm GMT+5:30","67","Instagram","Less than 1","Up to 4","5","Fake profiles;None","Face to face;Through social media"
"2022/01/17 9:29:54 pm GMT+5:30","47","Twitter;Hike;Snapchat","More than 4","1 to 2.5","9","Photos being misused;Hacking",""
"2022/01/17 9:33:03 pm GMT+5:30","26","Facebook","More than 4","Less than 1","1","Fake profiles;None","Face to face;Through social media"
"2022/01/17 9:33:08 pm GMT+5:30","17","Whatsapp;Facebook;Snapchat","Less than 1","1 to 2.5","9","Fake profiles;Hacking",""
"2022/01/17 9:33:14 pm GMT+5:30","66","Whatsapp;Instagram;Youtube","Less than 1","Up to 4","9","Fake profiles;None",""
"2022/01/17 9:33:30 pm GMT+5:30","44","Facebook","More than 4","More than 4","3","Photos being misused;None","Face to face;Through social media"
"2022/01/17 9:34:23 pm GMT+5:30","10","Twitter","More than 4","Up to 4","0","Fake profiles;Photos being misused","Face to face;Through social media"
"2022/01/17 9:34:28 pm GMT+5:30","17","Facebook;Youtube;Hike","Up to 4","None","4","Fake profiles;Photos being misused","Face to face;Through social media"
"2022/01/17 9:34:44 pm GMT+5:30","31","Twitter;Instagram;Snapchat","1 to 2.5","Up to 4","3","Fake profiles;Hacking","Through phone;Through social media"
"2022/01/17 9:34:51 pm GMT+5:30","66","Instagram;Youtube;Snapchat","Less than 1","More than 4","10","Hacking;None","Through phone;Through social media"
"2022/01/17 9:34:59 pm GMT+5:30","22","Snapchat","More than 4","More than 4","3","Fake profiles;Hacking",""
"2022/01/17 9:35:11 pm GMT+5:30","43","Twitter","More than 4","None","4","Hacking;None","Through phone;Through social media"
"2022/01/17 9:35:38 pm GMT+5:30","49","Whatsapp;Instagram;Youtube","Less than 1","None","9","Fake profiles;Hacking",""
"2022/01/17 9:35:51 pm GMT+5:30","39","Youtube","Up to 4","Less than 1","8","Fake profiles","Through phone;Face to face"
"2022/01/17 9:35:51 pm GMT+5:30","47","Whatsapp;Facebook;Youtube","Up to 4","Less than 1","3","Photos being misused;None",""
"2022/01/17 9:35:59 pm GMT+5:30","49","Whatsapp;Facebook;Youtube","Up to 4","Less than 1","8","Photos being misused;None","Text message;Face to face"
"2022/01/17 9:36:22 pm GMT+5:30","36","Whatsapp;Hike","More than 4","Less than 1","5","Fake profiles;Photos being misused","Face to face"
"2022/01/17 9:36:23 pm GMT+5:30","35","Instagram;Youtube;Snapchat","1 to 2.5","None","7","Photos being misused;Hacking",""
"2022/01/17 9:36:30 pm GMT+5:30","55","Twitter;Whatsapp;Youtube","Less than 1","Up to 4","0","Hacking;None","Face to face;Through social media"
"2022/01/17 9:36:38 pm GMT+5:30","66","Twitter;Facebook;Snapchat","1 to 2.5","Up to 4","10","Photos being misused","Text message;Through social media"
"2022/01/17 9:36:40 pm GMT+5:30","51","Whatsapp;Facebook;Hike","Up to 4","Up to 4","9","Fake profiles;Photos being misused","Text message;Face to face"
"2022/01/17 9:36:50 pm GMT+5:30","40","Whatsapp;Instagram;Youtube","Up to 4","None","2","Fake profiles;Photos being misused","Through phone;Through social media"
"2022/01/17 9:36:51 pm GMT+5:30","67","Hike","Up to 4","1 to 2.5","2","Photos being misused;Hacking","Through phone;Through social media"
"2022/01/17 9:37:01 pm GMT+5:30","37","Hike","Up to 4","1 to 2.5","4","Photos being misused","Text message;Face to face"
"2022/01/17 9:37:01 pm GMT+5:30","14","Facebook;Instagram;Snapchat","Less than 1","1 to 2.5","9","Photos being misused;None","Through phone;Text message"
"2022/01/17 9:37:21 pm GMT+5:30","50","Instagram;Youtube;Hike","More than 4","None","4","Fake profiles","Through phone;Text message"
"2022/01/17 9:37:28 pm GMT+5:30","44","Facebook;Youtube;Snapchat","More than 4","None","10","Photos being misused;Hacking",""
"2022/01/17 9:37:30 pm GMT+5:30","40","Facebook","Up to 4","1 to 2.5","1","None","Face to face;Through social media"
"2022/01/17 9:37:45 pm GMT+5:30","37","Instagram;Youtube;Snapchat","Up to 4","1 to 2.5","8","Photos being misused;None","Text message;Through social media"
"2022/01/17 9:37:53 pm GMT+5:30","33","Whatsapp;Facebook;Instagram","More than 4","More than 4","8","None","Through phone;Text message;Face to face;Through social media"
